screen_size,ROM,RAM,n_rear_cam,n_front_cam,battery_c,ratings,n_ratings,sales_p,discount_p,sales_idx
Very Small,64,2,1,1,1800,4.5,38645,32999,0.17,127.52
Small,64,4,2,1,2815,4.5,244,57149,0.04,1.39
Very Small,64,2,1,1,1800,4.5,38645,32999,0.17,127.52
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,128,4,2,1,2815,4.6,745,69149,0.02,5.15
Medium,64,4,2,1,2815,4.6,745,64149,0.02,4.78
Medium,128,4,2,1,2815,4.6,745,69149,0.02,5.15
Medium,64,4,2,1,2815,4.6,745,64149,0.02,4.78
Medium,128,4,2,1,2815,4.6,745,69149,0.02,5.15
Medium,128,4,2,1,2815,4.6,745,69149,0.02,5.15
Small,64,4,2,1,2815,4.5,244,57149,0.04,1.39
Medium,128,4,2,1,2815,4.6,745,69149,0.02,5.15
Small,128,4,2,1,2815,4.5,244,62149,0.04,1.52
Medium,256,4,2,1,2815,4.6,745,79149,0.02,5.9
Small,128,4,2,1,2815,4.5,244,62149,0.04,1.52
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,64,4,2,1,2815,4.6,745,64149,0.02,4.78
Medium,64,4,2,1,2815,4.6,745,64149,0.02,4.78
Small,64,4,2,1,2815,4.5,244,57149,0.04,1.39
Medium,256,4,2,1,2815,4.6,745,79149,0.02,5.9
Small,256,4,2,1,2815,4.5,244,72149,0.03,1.76
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,256,4,2,1,2815,4.6,745,79149,0.02,5.9
Medium,64,4,2,1,2815,4.6,745,64149,0.02,4.78
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,256,4,2,1,2815,4.6,745,79149,0.02,5.9
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Small,64,4,2,1,2815,4.5,244,57149,0.04,1.39
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Small,64,4,2,1,2815,4.5,244,57149,0.04,1.39
Small,128,4,2,1,2815,4.5,244,62149,0.04,1.52
Small,256,4,2,1,2815,4.5,244,72149,0.15,1.76
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Small,256,4,2,1,2815,4.5,244,72149,0.03,1.76
Very Small,64,2,1,1,1800,4.5,38645,32999,0.17,127.52
Small,256,4,2,1,2815,4.5,244,72149,0.03,1.76
Small,256,4,2,1,2815,4.5,244,72149,0.03,1.76
Small,128,4,2,1,2815,4.5,244,62149,0.04,1.52
Small,256,4,2,1,2815,4.5,244,72149,0.03,1.76
Small,128,4,2,1,2815,4.5,244,62149,0.04,1.52
Medium,256,4,2,1,2815,4.6,745,79149,0.16,5.9
Very Small,64,2,1,1,1800,4.5,11281,38999,0.02,43.99
Small,32,2,2,1,1800,4.5,29713,36999,0.02,109.94
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,128,3,1,1,2942,4.6,5366,47999,0.09,25.76
Medium,128,4,2,1,2815,4.6,745,69149,0.18,5.15
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,64,3,1,1,2942,4.6,5366,42999,0.1,23.07
Medium,256,4,2,1,2815,4.6,745,79149,0.02,5.9
Large,64,4,3,1,5000,4.3,38496,8999,0.18,34.64
Large,64,4,3,1,6000,4.3,4687,10999,0.08,5.16
Large,64,4,4,1,5000,4.3,14878,9999,0.16,14.88
Large,32,3,3,1,5000,4.3,54470,7999,0.2,43.57
