enrollee_id,city,city_development_index,gender,relevant_exp,enrolled_university,edu_level,major_discipline,exp,company_size,company_type,last_new_job,training_hours,target,Xgrp
8949,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,,,1,36.0,1,train
29725,city_40,0.7759999999999999,Male,No,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47.0,0,train
11561,city_21,0.624,,No,Full time course,Graduate,STEM,5,,,never,83.0,0,train
33241,city_115,0.789,,No,,Graduate,Business Degree,<1,,Pvt Ltd,never,52.0,1,train
666,city_162,0.767,Male,Has,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8.0,0,train
21651,city_176,0.764,,Has,Part time course,Graduate,STEM,11,,,1,24.0,1,train
28806,city_160,0.92,Male,Has,no_enrollment,High School,,5,50-99,Funded Startup,1,24.0,0,train
402,city_46,0.762,Male,Has,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18.0,1,train
27107,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46.0,1,train
699,city_103,0.92,,Has,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123.0,0,train
29452,city_21,0.624,,No,Full time course,High School,,2,,,never,32.0,1,train
23853,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108.0,0,train
25619,city_61,0.913,Male,Has,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23.0,0,train
5826,city_21,0.624,Male,No,,,,2,,,never,24.0,0,train
8722,city_21,0.624,,No,Full time course,High School,,5,,,never,26.0,0,train
6588,city_114,0.926,Male,Has,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18.0,0,train
4167,city_103,0.92,,Has,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106.0,0,train
5764,city_21,0.624,,Has,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7.0,0,train
2156,city_21,0.624,,Has,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23.0,1,train
11399,city_13,0.8270000000000001,Female,Has,no_enrollment,Graduate,Arts,4,,,1,132.0,1,train
31972,city_159,0.843,Male,Has,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68.0,0,train
19061,city_114,0.926,Male,Has,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50.0,0,train
6491,city_102,0.804,,Has,no_enrollment,Masters,STEM,10,,,1,48.0,0,train
7041,city_40,0.7759999999999999,Male,Has,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65.0,0,train
22767,city_21,0.624,,Has,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13.0,0,train
14505,city_67,0.855,,No,no_enrollment,High School,,4,,,never,22.0,0,train
17139,city_21,0.624,,Has,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148.0,1,train
28476,city_103,0.92,Male,Has,no_enrollment,Graduate,Arts,5,,,2,72.0,0,train
21538,city_100,0.887,Male,Has,no_enrollment,High School,,11,<10,Pvt Ltd,1,8.0,1,train
10408,city_21,0.624,Male,Has,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68.0,1,train
14928,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40.0,0,train
22293,city_103,0.92,Male,Has,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141.0,0,train
4324,city_103,0.92,Female,No,Full time course,Graduate,STEM,5,,,1,24.0,0,train
26966,city_160,0.92,Female,Has,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82.0,0,train
